Student ID;Student Country;Question ID;Type of Answer;Question Level;Topic;Subtopic
840;Italy;292;1;Advanced;Linear Algebra;Linear Transformations
1091;Lithuania;293;1;Advanced;Linear Algebra;Linear Transformations
972;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
1338;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
1150;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
1146;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
1126;Portugal;293;1;Advanced;Linear Algebra;Linear Transformations
1420;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
1353;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
1077;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
1308;Italy;293;1;Advanced;Linear Algebra;Linear Transformations
72;Portugal;293;0;Advanced;Linear Algebra;Linear Transformations
340;Portugal;295;0;Basic;Probability ;Probability 
1525;Portugal;295;0;Basic;Probability ;Probability 
956;Portugal;296;0;Basic;Linear Algebra;Linear Transformations
1143;Portugal;296;1;Basic;Linear Algebra;Linear Transformations
1091;Lithuania;296;1;Basic;Linear Algebra;Linear Transformations
510;Portugal;296;0;Basic;Linear Algebra;Linear Transformations
1182;Portugal;296;1;Basic;Linear Algebra;Linear Transformations
1253;Portugal;296;0;Basic;Linear Algebra;Linear Transformations
1334;Portugal;296;0;Basic;Linear Algebra;Linear Transformations
1109;Portugal;296;0;Basic;Linear Algebra;Linear Transformations
1173;Portugal;296;0;Basic;Linear Algebra;Linear Transformations
1146;Portugal;296;1;Basic;Linear Algebra;Linear Transformations
1279;Portugal;296;1;Basic;Linear Algebra;Linear Transformations
1281;Portugal;296;0;Basic;Linear Algebra;Linear Transformations
1324;Italy;296;0;Basic;Linear Algebra;Linear Transformations
1284;Italy;296;0;Basic;Linear Algebra;Linear Transformations
548;Portugal;298;0;Basic;Probability ;Probability 
340;Portugal;299;0;Basic;Probability ;Probability 
26;Portugal;299;0;Basic;Probability ;Probability 
340;Portugal;300;0;Basic;Probability ;Probability 
548;Portugal;300;1;Basic;Probability ;Probability 
340;Portugal;301;0;Basic;Probability ;Probability 
548;Portugal;301;0;Basic;Probability ;Probability 
548;Portugal;302;0;Basic;Probability ;Probability 
26;Portugal;302;1;Basic;Probability ;Probability 
340;Portugal;303;0;Basic;Probability ;Probability 
26;Portugal;303;1;Basic;Probability ;Probability 
